id_ccaa;nombre_ccaa;abrev_ccaa;ccaa;anio;ind_fec
1;Andalucía;Andalucía;01 Andalucía;1975;3,09
1;Andalucía;Andalucía;01 Andalucía;1976;3,11
1;Andalucía;Andalucía;01 Andalucía;1977;3,03
1;Andalucía;Andalucía;01 Andalucía;1978;2,96
1;Andalucía;Andalucía;01 Andalucía;1979;2,81
1;Andalucía;Andalucía;01 Andalucía;1980;2,72
1;Andalucía;Andalucía;01 Andalucía;1981;2,55
1;Andalucía;Andalucía;01 Andalucía;1982;2,45
1;Andalucía;Andalucía;01 Andalucía;1983;2,29
1;Andalucía;Andalucía;01 Andalucía;1984;2,16
1;Andalucía;Andalucía;01 Andalucía;1985;2,01
1;Andalucía;Andalucía;01 Andalucía;1986;1,91
1;Andalucía;Andalucía;01 Andalucía;1987;1,84
1;Andalucía;Andalucía;01 Andalucía;1988;1,77
1;Andalucía;Andalucía;01 Andalucía;1989;1,69
1;Andalucía;Andalucía;01 Andalucía;1990;1,66
1;Andalucía;Andalucía;01 Andalucía;1991;1,61
1;Andalucía;Andalucía;01 Andalucía;1992;1,58
1;Andalucía;Andalucía;01 Andalucía;1993;1,52
1;Andalucía;Andalucía;01 Andalucía;1994;1,42
1;Andalucía;Andalucía;01 Andalucía;1995;1,36
1;Andalucía;Andalucía;01 Andalucía;1996;1,31
1;Andalucía;Andalucía;01 Andalucía;1997;1,32
1;Andalucía;Andalucía;01 Andalucía;1998;1,28
1;Andalucía;Andalucía;01 Andalucía;1999;1,31
1;Andalucía;Andalucía;01 Andalucía;2000;1,34
1;Andalucía;Andalucía;01 Andalucía;2001;1,35
1;Andalucía;Andalucía;01 Andalucía;2002;1,35
1;Andalucía;Andalucía;01 Andalucía;2003;1,4
1;Andalucía;Andalucía;01 Andalucía;2004;1,44
1;Andalucía;Andalucía;01 Andalucía;2005;1,46
1;Andalucía;Andalucía;01 Andalucía;2006;1,5
1;Andalucía;Andalucía;01 Andalucía;2007;1,5
1;Andalucía;Andalucía;01 Andalucía;2008;1,56
1;Andalucía;Andalucía;01 Andalucía;2009;1,48
1;Andalucía;Andalucía;01 Andalucía;2010;1,45
1;Andalucía;Andalucía;01 Andalucía;2011;1,42
1;Andalucía;Andalucía;01 Andalucía;2012;1,39
1;Andalucía;Andalucía;01 Andalucía;2013;1,34
1;Andalucía;Andalucía;01 Andalucía;2014;1,39
1;Andalucía;Andalucía;01 Andalucía;2015;1,4
1;Andalucía;Andalucía;01 Andalucía;2016;1,41
1;Andalucía;Andalucía;01 Andalucía;2017;1,36
1;Andalucía;Andalucía;01 Andalucía;2018;1,32
1;Andalucía;Andalucía;01 Andalucía;2019;1,31
1;Andalucía;Andalucía;01 Andalucía;2020;1,24
2;Aragón;Aragón;02 Aragón;1975;2,38
2;Aragón;Aragón;02 Aragón;1976;2,37
2;Aragón;Aragón;02 Aragón;1977;2,29
2;Aragón;Aragón;02 Aragón;1978;2,19
2;Aragón;Aragón;02 Aragón;1979;2,06
2;Aragón;Aragón;02 Aragón;1980;1,96
2;Aragón;Aragón;02 Aragón;1981;1,79
2;Aragón;Aragón;02 Aragón;1982;1,71
2;Aragón;Aragón;02 Aragón;1983;1,54
2;Aragón;Aragón;02 Aragón;1984;1,51
2;Aragón;Aragón;02 Aragón;1985;1,44
2;Aragón;Aragón;02 Aragón;1986;1,36
2;Aragón;Aragón;02 Aragón;1987;1,3
2;Aragón;Aragón;02 Aragón;1988;1,28
2;Aragón;Aragón;02 Aragón;1989;1,23
2;Aragón;Aragón;02 Aragón;1990;1,16
2;Aragón;Aragón;02 Aragón;1991;1,16
2;Aragón;Aragón;02 Aragón;1992;1,17
2;Aragón;Aragón;02 Aragón;1993;1,1
2;Aragón;Aragón;02 Aragón;1994;1,11
2;Aragón;Aragón;02 Aragón;1995;1,06
2;Aragón;Aragón;02 Aragón;1996;1,05
2;Aragón;Aragón;02 Aragón;1997;1,06
2;Aragón;Aragón;02 Aragón;1998;1,03
2;Aragón;Aragón;02 Aragón;1999;1,08
2;Aragón;Aragón;02 Aragón;2000;1,12
2;Aragón;Aragón;02 Aragón;2001;1,17
2;Aragón;Aragón;02 Aragón;2002;1,15
2;Aragón;Aragón;02 Aragón;2003;1,21
2;Aragón;Aragón;02 Aragón;2004;1,25
2;Aragón;Aragón;02 Aragón;2005;1,24
2;Aragón;Aragón;02 Aragón;2006;1,3
2;Aragón;Aragón;02 Aragón;2007;1,34
2;Aragón;Aragón;02 Aragón;2008;1,41
2;Aragón;Aragón;02 Aragón;2009;1,35
2;Aragón;Aragón;02 Aragón;2010;1,36
2;Aragón;Aragón;02 Aragón;2011;1,34
2;Aragón;Aragón;02 Aragón;2012;1,3
2;Aragón;Aragón;02 Aragón;2013;1,3
2;Aragón;Aragón;02 Aragón;2014;1,34
2;Aragón;Aragón;02 Aragón;2015;1,35
2;Aragón;Aragón;02 Aragón;2016;1,34
2;Aragón;Aragón;02 Aragón;2017;1,32
2;Aragón;Aragón;02 Aragón;2018;1,29
2;Aragón;Aragón;02 Aragón;2019;1,26
2;Aragón;Aragón;02 Aragón;2020;1,19
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1975;2,33
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1976;2,35
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1977;2,27
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1978;2,04
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1979;1,95
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1980;1,82
3;Asturias, Principado de;Asturias;03 Asturias, Principado de;1981;1,67
