id_prov;nombre_prov;abrev_prov;provincia;anio;ind_fec
0;Total Nacional;Media nacional;Total Nacional;1975;2,77
0;Total Nacional;Media nacional;Total Nacional;1976;2,77
0;Total Nacional;Media nacional;Total Nacional;1977;2,65
0;Total Nacional;Media nacional;Total Nacional;1978;2,54
0;Total Nacional;Media nacional;Total Nacional;1979;2,37
0;Total Nacional;Media nacional;Total Nacional;1980;2,21
0;Total Nacional;Media nacional;Total Nacional;1981;2,04
0;Total Nacional;Media nacional;Total Nacional;1982;1,94
0;Total Nacional;Media nacional;Total Nacional;1983;1,8
0;Total Nacional;Media nacional;Total Nacional;1984;1,72
0;Total Nacional;Media nacional;Total Nacional;1985;1,64
0;Total Nacional;Media nacional;Total Nacional;1986;1,55
0;Total Nacional;Media nacional;Total Nacional;1987;1,49
0;Total Nacional;Media nacional;Total Nacional;1988;1,45
0;Total Nacional;Media nacional;Total Nacional;1989;1,4
0;Total Nacional;Media nacional;Total Nacional;1990;1,36
0;Total Nacional;Media nacional;Total Nacional;1991;1,33
0;Total Nacional;Media nacional;Total Nacional;1992;1,31
0;Total Nacional;Media nacional;Total Nacional;1993;1,26
0;Total Nacional;Media nacional;Total Nacional;1994;1,19
0;Total Nacional;Media nacional;Total Nacional;1995;1,16
0;Total Nacional;Media nacional;Total Nacional;1996;1,14
0;Total Nacional;Media nacional;Total Nacional;1997;1,15
0;Total Nacional;Media nacional;Total Nacional;1998;1,13
0;Total Nacional;Media nacional;Total Nacional;1999;1,16
0;Total Nacional;Media nacional;Total Nacional;2000;1,21
0;Total Nacional;Media nacional;Total Nacional;2001;1,24
0;Total Nacional;Media nacional;Total Nacional;2002;1,25
0;Total Nacional;Media nacional;Total Nacional;2003;1,3
0;Total Nacional;Media nacional;Total Nacional;2004;1,32
0;Total Nacional;Media nacional;Total Nacional;2005;1,33
0;Total Nacional;Media nacional;Total Nacional;2006;1,36
0;Total Nacional;Media nacional;Total Nacional;2007;1,38
0;Total Nacional;Media nacional;Total Nacional;2008;1,44
0;Total Nacional;Media nacional;Total Nacional;2009;1,38
0;Total Nacional;Media nacional;Total Nacional;2010;1,37
0;Total Nacional;Media nacional;Total Nacional;2011;1,34
0;Total Nacional;Media nacional;Total Nacional;2012;1,32
0;Total Nacional;Media nacional;Total Nacional;2013;1,27
0;Total Nacional;Media nacional;Total Nacional;2014;1,32
0;Total Nacional;Media nacional;Total Nacional;2015;1,33
0;Total Nacional;Media nacional;Total Nacional;2016;1,34
0;Total Nacional;Media nacional;Total Nacional;2017;1,31
0;Total Nacional;Media nacional;Total Nacional;2018;1,26
0;Total Nacional;Media nacional;Total Nacional;2019;1,24
0;Total Nacional;Media nacional;Total Nacional;2020;1,18
1;Araba/Álava;Álava;01 Araba/Álava;1975;2,94
1;Araba/Álava;Álava;01 Araba/Álava;1976;2,83
1;Araba/Álava;Álava;01 Araba/Álava;1977;2,64
1;Araba/Álava;Álava;01 Araba/Álava;1978;2,53
1;Araba/Álava;Álava;01 Araba/Álava;1979;2,23
1;Araba/Álava;Álava;01 Araba/Álava;1980;2,04
1;Araba/Álava;Álava;01 Araba/Álava;1981;1,89
1;Araba/Álava;Álava;01 Araba/Álava;1982;1,73
1;Araba/Álava;Álava;01 Araba/Álava;1983;1,67
1;Araba/Álava;Álava;01 Araba/Álava;1984;1,52
1;Araba/Álava;Álava;01 Araba/Álava;1985;1,45
1;Araba/Álava;Álava;01 Araba/Álava;1986;1,3
1;Araba/Álava;Álava;01 Araba/Álava;1987;1,23
1;Araba/Álava;Álava;01 Araba/Álava;1988;1,22
1;Araba/Álava;Álava;01 Araba/Álava;1989;1,11
1;Araba/Álava;Álava;01 Araba/Álava;1990;1,05
1;Araba/Álava;Álava;01 Araba/Álava;1991;1,03
1;Araba/Álava;Álava;01 Araba/Álava;1992;1
1;Araba/Álava;Álava;01 Araba/Álava;1993;0,99
1;Araba/Álava;Álava;01 Araba/Álava;1994;0,88
1;Araba/Álava;Álava;01 Araba/Álava;1995;0,9
1;Araba/Álava;Álava;01 Araba/Álava;1996;0,97
1;Araba/Álava;Álava;01 Araba/Álava;1997;0,95
1;Araba/Álava;Álava;01 Araba/Álava;1998;0,96
1;Araba/Álava;Álava;01 Araba/Álava;1999;0,98
1;Araba/Álava;Álava;01 Araba/Álava;2000;1,05
1;Araba/Álava;Álava;01 Araba/Álava;2001;1,03
1;Araba/Álava;Álava;01 Araba/Álava;2002;1,05
1;Araba/Álava;Álava;01 Araba/Álava;2003;1,12
1;Araba/Álava;Álava;01 Araba/Álava;2004;1,16
1;Araba/Álava;Álava;01 Araba/Álava;2005;1,14
1;Araba/Álava;Álava;01 Araba/Álava;2006;1,2
1;Araba/Álava;Álava;01 Araba/Álava;2007;1,25
1;Araba/Álava;Álava;01 Araba/Álava;2008;1,33
1;Araba/Álava;Álava;01 Araba/Álava;2009;1,33
1;Araba/Álava;Álava;01 Araba/Álava;2010;1,39
1;Araba/Álava;Álava;01 Araba/Álava;2011;1,44
1;Araba/Álava;Álava;01 Araba/Álava;2012;1,42
1;Araba/Álava;Álava;01 Araba/Álava;2013;1,37
1;Araba/Álava;Álava;01 Araba/Álava;2014;1,51
1;Araba/Álava;Álava;01 Araba/Álava;2015;1,49
1;Araba/Álava;Álava;01 Araba/Álava;2016;1,5
1;Araba/Álava;Álava;01 Araba/Álava;2017;1,49
1;Araba/Álava;Álava;01 Araba/Álava;2018;1,38
1;Araba/Álava;Álava;01 Araba/Álava;2019;1,36
1;Araba/Álava;Álava;01 Araba/Álava;2020;1,29
2;Albacete;Albacete;02 Albacete;1975;2,87
2;Albacete;Albacete;02 Albacete;1976;2,95
2;Albacete;Albacete;02 Albacete;1977;2,79
2;Albacete;Albacete;02 Albacete;1978;2,87
2;Albacete;Albacete;02 Albacete;1979;2,68
2;Albacete;Albacete;02 Albacete;1980;2,54
2;Albacete;Albacete;02 Albacete;1981;2,44
2;Albacete;Albacete;02 Albacete;1982;2,43
2;Albacete;Albacete;02 Albacete;1983;2,22
2;Albacete;Albacete;02 Albacete;1984;2,12
2;Albacete;Albacete;02 Albacete;1985;1,91
2;Albacete;Albacete;02 Albacete;1986;1,86
2;Albacete;Albacete;02 Albacete;1987;1,85
2;Albacete;Albacete;02 Albacete;1988;1,7
2;Albacete;Albacete;02 Albacete;1989;1,71
2;Albacete;Albacete;02 Albacete;1990;1,71
2;Albacete;Albacete;02 Albacete;1991;1,58
2;Albacete;Albacete;02 Albacete;1992;1,58
2;Albacete;Albacete;02 Albacete;1993;1,45
2;Albacete;Albacete;02 Albacete;1994;1,44
2;Albacete;Albacete;02 Albacete;1995;1,4
2;Albacete;Albacete;02 Albacete;1996;1,35
2;Albacete;Albacete;02 Albacete;1997;1,31
2;Albacete;Albacete;02 Albacete;1998;1,3
2;Albacete;Albacete;02 Albacete;1999;1,28
2;Albacete;Albacete;02 Albacete;2000;1,28
2;Albacete;Albacete;02 Albacete;2001;1,28
2;Albacete;Albacete;02 Albacete;2002;1,29
2;Albacete;Albacete;02 Albacete;2003;1,32
2;Albacete;Albacete;02 Albacete;2004;1,26
2;Albacete;Albacete;02 Albacete;2005;1,29
2;Albacete;Albacete;02 Albacete;2006;1,37
2;Albacete;Albacete;02 Albacete;2007;1,25
2;Albacete;Albacete;02 Albacete;2008;1,39
2;Albacete;Albacete;02 Albacete;2009;1,42
2;Albacete;Albacete;02 Albacete;2010;1,39
2;Albacete;Albacete;02 Albacete;2011;1,37
2;Albacete;Albacete;02 Albacete;2012;1,31
2;Albacete;Albacete;02 Albacete;2013;1,31
2;Albacete;Albacete;02 Albacete;2014;1,34
2;Albacete;Albacete;02 Albacete;2015;1,34
2;Albacete;Albacete;02 Albacete;2016;1,34
2;Albacete;Albacete;02 Albacete;2017;1,32
2;Albacete;Albacete;02 Albacete;2018;1,28
2;Albacete;Albacete;02 Albacete;2019;1,23
2;Albacete;Albacete;02 Albacete;2020;1,2
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1975;3,09
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1976;3,12
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1977;2,96
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1978;2,83
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1979;2,63
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1980;2,46
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1981;2,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1982;2,13
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1983;1,94
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1984;1,84
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1985;1,74
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1986;1,69
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1987;1,62
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1988;1,6
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1989;1,52
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1990;1,5
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1991;1,45
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1992;1,39
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1993;1,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1994;1,25
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1995;1,21
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1996;1,18
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1997;1,15
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1998;1,16
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;1999;1,2
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2000;1,26
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2001;1,3
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2002;1,32
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2003;1,37
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2004;1,38
3;Alicante/Alacant;Alicante;03 Alicante/Alacant;2005;1,38
